Randomstate, Window Size,Window Overlap,Loss,Accuracy,Precision,Recall,AUC,Groups Test
4,4,0,0.9234938621520996,0.8550000190734863,0.7897574305534363,0.9701986908912659,0.9092904329299927,[ 5  6  7  8 37 39 40 48]
4,4,0.2,0.7355136275291443,0.8820375204086304,0.8298850655555725,0.9626666903495789,0.9207762479782104,[ 5  6  7  8 37 39 40 48]
4,4,0.4,0.908159077167511,0.8781470060348511,0.8225256204605103,0.9659318923950195,0.9143103957176208,[ 5  6  7  8 37 39 40 48]
4,4,0.6,0.9676454663276672,0.8808882832527161,0.8152654767036438,0.9866130948066711,0.907671332359314,[ 5  6  7  8 37 39 40 48]
4,4,0.8,1.0242702960968018,0.8699898719787598,0.8192840814590454,0.9510723948478699,0.9006987810134888,[ 5  6  7  8 37 39 40 48]
4,8,0,0.3890676200389862,0.8653198480606079,0.85161292552948,0.8859060406684875,0.9488481283187866,[ 5  6  7  8 37 39 40 48]
4,8,0,0.3890676200389862,0.8653198480606079,0.85161292552948,0.8859060406684875,0.9488481283187866,[ 5  6  7  8 37 39 40 48]
4,8,0.2,0.4676329791545868,0.8918918967247009,0.8613861203193665,0.9354838728904724,0.9479166269302368,[ 5  6  7  8 37 39 40 48]
4,8,0.4,0.6606488823890686,0.8719512224197388,0.8087248206138611,0.9757084846496582,0.9367677569389343,[ 5  6  7  8 37 39 40 48]
4,8,0.6,0.8778043985366821,0.8722826242446899,0.8053097128868103,0.9837837815284729,0.9032971262931824,[ 5  6  7  8 37 39 40 48]
4,8,0.8,0.8157919645309448,0.8711656332015991,0.8246445655822754,0.9443690776824951,0.9102118015289307,[ 5  6  7  8 37 39 40 48]
4,12,0,0.32562556862831116,0.9090909361839294,0.8796296119689941,0.949999988079071,0.957295835018158,[ 5  6  7  8 37 39 40 48]
4,12,0.2,0.5025557279586792,0.8518518805503845,0.8359375,0.8770492076873779,0.9239940047264099,[ 5  6  7  8 37 39 40 48]
4,12,0.4,0.5228983759880066,0.8580247163772583,0.8979591727256775,0.8098159432411194,0.9269900321960449,[ 5  6  7  8 37 39 40 48]
4,12,0.6,0.45741984248161316,0.8842975497245789,0.96517413854599,0.798353910446167,0.9641582369804382,[ 5  6  7  8 37 39 40 48]
4,12,0.8,0.5696618556976318,0.8911917209625244,0.8321678042411804,0.9814432859420776,0.9451353549957275,[ 5  6  7  8 37 39 40 48]
4,16,0,0.3222232460975647,0.8965517282485962,0.8372092843055725,0.9863013625144958,0.969558596611023,[ 5  6  7  8 37 39 40 48]
4,16,0.2,0.3402717411518097,0.8797814249992371,0.8645833134651184,0.9021739363670349,0.9593884348869324,[ 5  6  7  8 37 39 40 48]
4,16,0.4,0.2796074450016022,0.9045643210411072,0.8828125,0.93388432264328,0.9679064154624939,[ 5  6  7  8 37 39 40 48]
4,16,0.6,0.29646334052085876,0.9111111164093018,0.8599033951759338,0.9834254384040833,0.9768510460853577,[ 5  6  7  8 37 39 40 48]
4,16,0.8,0.3701021075248718,0.9188811182975769,0.8697788715362549,0.9860724210739136,0.9742341637611389,[ 5  6  7  8 37 39 40 48]
4,22,0,0.4855973422527313,0.8190476298332214,0.7428571581840515,0.9811320900917053,0.9535558819770813,[ 5  6  7  8 37 39 40 48]
4,22,0.2,0.25755539536476135,0.9069767594337463,0.8533333539962769,0.9846153855323792,0.9807692170143127,[ 5  6  7  8 37 39 40 48]
4,22,0.4,0.685243546962738,0.7988505959510803,0.7190082669258118,0.9886363744735718,0.9492599964141846,[ 5  6  7  8 37 39 40 48]
4,22,0.6,0.6326534152030945,0.8521400690078735,0.8053691387176514,0.930232584476471,0.9319888949394226,[ 5  6  7  8 37 39 40 48]
4,22,0.8,0.38023045659065247,0.916015625,0.8909090757369995,0.9496123790740967,0.9623007774353027,[ 5  6  7  8 37 39 40 48]
